scenario,rep,ref_aipw,syn_aipw,abs_ref_dist,fid_dist,true_extreme_share
std,36,1.9697,1.6751,0.2946,0.00961,0.0220
std,37,1.4907,1.2977,0.1930,0.01263,0.0173
std,38,1.6460,1.9585,0.3125,0.01330,0.0205
std,39,2.2307,1.7513,0.4794,0.01137,0.0170
std,40,1.8758,1.7983,0.0775,0.01077,0.0180
std,41,1.8705,2.2792,0.4087,0.01314,0.0173
std,42,1.8584,2.1320,0.2736,0.00952,0.0173
std,43,2.2456,1.9440,0.3016,0.01043,0.0168
std,44,1.5415,1.5202,0.0212,0.01034,0.0170
std,45,1.7245,1.4916,0.2329,0.01053,0.0190
std,46,1.9007,1.7095,0.1912,0.01149,0.0190
std,47,2.0123,1.7350,0.2774,0.01314,0.0177
std,48,2.1728,2.2926,0.1198,0.00941,0.0185
std,49,2.3825,2.0571,0.3254,0.01023,0.0182
std,50,2.2137,2.1350,0.0786,0.01115,0.0163
std,51,1.8679,1.8361,0.0318,0.01299,0.0165
std,52,1.9461,2.3118,0.3657,0.01133,0.0200
std,53,1.8410,2.3041,0.4630,0.01209,0.0158
std,54,2.0780,2.2343,0.1562,0.00857,0.0168
std,55,1.7622,1.7985,0.0363,0.01349,0.0205
std,56,2.1716,2.1819,0.0103,0.01062,0.0187
std,57,2.3011,2.1362,0.1649,0.00997,0.0173
std,58,2.1951,2.2252,0.0301,0.00993,0.0168
std,59,1.9848,2.2589,0.2741,0.00963,0.0190
std,60,2.1098,2.2359,0.1261,0.00975,0.0200
std,61,2.1221,1.8607,0.2614,0.00996,0.0210
std,62,1.8294,2.0203,0.1909,0.00988,0.0208
std,63,1.9473,2.2566,0.3093,0.01064,0.0192
std,64,1.8909,1.5759,0.3149,0.01269,0.0185
std,65,2.0127,2.2276,0.2149,0.00766,0.0150
std,66,2.0633,1.9451,0.1182,0.01125,0.0168
std,67,1.8520,1.7751,0.0769,0.01423,0.0195
std,68,2.1578,2.0910,0.0667,0.01194,0.0198
std,69,1.6031,1.8470,0.2439,0.01016,0.0177
std,70,1.8361,2.0437,0.2077,0.01019,0.0168
std,71,2.0965,1.9801,0.1164,0.00991,0.0150
std,72,2.0101,1.5484,0.4617,0.01006,0.0195
std,73,1.9181,2.2159,0.2978,0.00874,0.0192
std,74,2.1307,2.5165,0.3858,0.01037,0.0192
std,75,1.8748,1.7876,0.0872,0.01004,0.0170
std,76,1.8858,2.2894,0.4036,0.01015,0.0140
std,77,2.0686,2.0908,0.0222,0.01528,0.0185
std,78,2.0412,1.5814,0.4598,0.00945,0.0205
std,79,2.1661,2.2071,0.0411,0.01153,0.0158
std,80,2.0902,2.2980,0.2078,0.01084,0.0190
std,81,2.0025,2.0980,0.0955,0.01184,0.0210
std,82,2.1073,1.9761,0.1312,0.01945,0.0182
std,83,2.0223,1.9940,0.0283,0.01047,0.0192
std,84,1.8497,1.7364,0.1134,0.01029,0.0173
std,85,2.2960,2.0119,0.2841,0.01108,0.0195
std,86,2.3818,2.1873,0.1945,0.01409,0.0198
std,87,1.7568,1.8888,0.1320,0.00984,0.0163
std,88,1.7792,2.1525,0.3733,0.01007,0.0180
std,89,1.9114,1.7881,0.1234,0.00964,0.0203
std,90,2.1096,1.7118,0.3978,0.01196,0.0173
std,91,2.1160,1.8694,0.2467,0.01091,0.0173
std,92,1.8815,1.4712,0.4103,0.00902,0.0187
std,93,1.8883,1.8444,0.0438,0.01237,0.0210
std,94,2.1851,2.2039,0.0188,0.00960,0.0192
std,95,1.9908,1.6806,0.3102,0.01153,0.0182
std,96,1.9959,1.9978,0.0018,0.00931,0.0180
std,97,2.2130,2.2328,0.0198,0.01055,0.0190
std,98,1.7992,1.5438,0.2553,0.01065,0.0175
std,99,1.9816,1.5828,0.3988,0.00777,0.0168
weak,0,2.2000,2.2327,0.0328,0.01264,0.2572
weak,1,2.0163,1.7427,0.2736,0.00992,0.2600
weak,2,2.1465,2.1467,0.0002,0.01153,0.2582
weak,3,2.4646,2.1983,0.2663,0.01069,0.2520
weak,4,1.9386,2.2872,0.3486,0.01101,0.2690
weak,5,1.6092,1.7284,0.1192,0.01235,0.2597
weak,6,2.2952,2.3747,0.0795,0.01106,0.2685
weak,7,2.0670,2.1217,0.0547,0.01134,0.2572
weak,8,1.8269,1.6222,0.2046,0.01101,0.2582
weak,9,2.2854,1.8128,0.4726,0.01118,0.2507
weak,10,2.5938,2.6454,0.0516,0.01475,0.2555
weak,11,1.7730,2.1505,0.3775,0.01104,0.2662
weak,12,2.1035,1.4684,0.6350,0.01135,0.2705
weak,13,2.3697,2.1681,0.2016,0.01255,0.2500
weak,14,2.6941,2.4992,0.1950,0.01327,0.2512
weak,15,1.7631,1.9762,0.2131,0.00994,0.2520
weak,16,2.1169,2.2897,0.1728,0.01229,0.2622
weak,17,2.1984,1.5429,0.6555,0.01077,0.2615
weak,18,2.0999,2.4270,0.3271,0.00998,0.2462
weak,19,1.6681,1.5478,0.1203,0.01029,0.2490
weak,20,1.4358,2.0138,0.5780,0.00972,0.2592
weak,21,2.1201,2.2532,0.1330,0.01651,0.2715
weak,22,2.0762,2.4765,0.4004,0.00821,0.2560
weak,23,2.2172,2.1501,0.0671,0.01278,0.2630
weak,24,2.0479,1.9381,0.1099,0.01039,0.2532
weak,25,1.8041,2.3108,0.5066,0.00858,0.2540
weak,26,2.4751,2.2111,0.2640,0.00994,0.2642
weak,27,1.9711,2.1314,0.1602,0.01127,0.2587
weak,28,2.0579,2.1344,0.0766,0.01507,0.2552
weak,29,2.0254,2.0518,0.0264,0.01119,0.2570
weak,30,1.7798,1.9835,0.2038,0.01247,0.2607
weak,31,1.3899,1.9586,0.5687,0.00961,0.2645
weak,32,2.0728,1.8902,0.1826,0.00869,0.2617
weak,33,2.1150,1.8752,0.2398,0.01438,0.2585
weak,34,1.7017,2.1832,0.4816,0.01129,0.2492
weak,35,2.2247,2.1115,0.1132,0.00827,0.2557
weak,36,1.8164,2.2117,0.3953,0.00974,0.2565
weak,37,2.3448,2.5774,0.2327,0.01364,0.2512
weak,38,1.8964,2.1855,0.2891,0.01199,0.2577
weak,39,1.9221,1.9991,0.0770,0.00985,0.2555
weak,40,1.8064,2.2338,0.4274,0.01147,0.2760
weak,41,2.2511,1.4038,0.8473,0.01307,0.2620
weak,42,2.0340,1.9546,0.0794,0.01034,0.2657
weak,43,2.1609,2.0212,0.1397,0.01499,0.2565
weak,44,2.0571,2.3775,0.3205,0.01168,0.2692
weak,45,2.0790,1.9797,0.0992,0.01001,0.2682
weak,46,1.7955,2.1036,0.3081,0.00991,0.2522
weak,47,1.8885,1.3806,0.5078,0.00930,0.2517
weak,48,1.9639,1.9402,0.0237,0.01329,0.2665
weak,49,1.9627,1.8887,0.0741,0.01422,0.2760
weak,50,2.0947,2.5967,0.5020,0.01546,0.2655
weak,51,2.1847,1.9475,0.2373,0.01208,0.2615
weak,52,2.0747,1.9442,0.1305,0.01449,0.2610
weak,53,2.4704,2.3760,0.0944,0.00856,0.2695
weak,54,2.2101,2.4993,0.2892,0.01331,0.2557
weak,55,2.2443,2.3119,0.0676,0.01231,0.2652
weak,56,1.9625,2.1144,0.1519,0.01190,0.2677
weak,57,1.9609,2.2853,0.3244,0.01011,0.2640
weak,58,1.7305,2.1315,0.4010,0.00960,0.2680
weak,59,1.6629,2.2108,0.5479,0.00901,0.2645
weak,60,2.0032,2.1608,0.1576,0.01215,0.2642
weak,61,1.8938,1.7873,0.1065,0.01505,0.2625
weak,62,2.9941,2.2340,0.7601,0.00881,0.2600
weak,63,2.1515,2.3560,0.2046,0.01059,0.2567
weak,64,2.1461,2.3637,0.2176,0.01641,0.2650
weak,65,1.9889,1.7557,0.2333,0.00953,0.2675
weak,66,2.2803,2.4973,0.2170,0.01141,0.2642
weak,67,2.0309,1.9264,0.1045,0.01037,0.2517
weak,68,2.0550,1.6987,0.3563,0.01221,0.2757
weak,69,2.1664,2.5723,0.4058,0.00995,0.2640
weak,70,1.8045,2.0542,0.2497,0.01516,0.2550
weak,71,2.4650,2.6171,0.1521,0.01251,0.2820
weak,72,2.1506,2.3669,0.2163,0.01341,0.2610
weak,73,1.8011,2.3510,0.5499,0.01444,0.2620
weak,74,2.0135,1.8738,0.1397,0.01130,0.2585
weak,75,1.6271,1.6579,0.0308,0.01216,0.2590
weak,76,2.2389,2.0893,0.1496,0.01250,0.2582
weak,77,2.4356,2.2401,0.1956,0.01029,0.2550
weak,78,2.3127,2.4018,0.0892,0.00970,0.2587
weak,79,1.7475,1.9514,0.2039,0.01122,0.2642
weak,80,2.0573,1.9812,0.0762,0.01056,0.2542
weak,81,2.0782,1.7776,0.3007,0.01217,0.2565
weak,82,2.0196,2.4943,0.4747,0.01481,0.2560
weak,83,1.9432,2.4434,0.5002,0.01141,0.2672
weak,84,1.9059,1.7164,0.1895,0.01000,0.2640
weak,85,2.2121,2.1782,0.0339,0.00913,0.2660
weak,86,1.9301,2.6235,0.6934,0.00952,0.2557
weak,87,2.3082,2.0296,0.2786,0.00891,0.2487
weak,88,1.9295,1.6598,0.2697,0.01043,0.2647
weak,89,2.1553,1.9728,0.1825,0.00813,0.2795
weak,90,2.3645,2.1584,0.2061,0.01439,0.2597
weak,91,1.8032,1.9634,0.1602,0.01045,0.2645
weak,92,2.4504,2.3469,0.1035,0.01270,0.2515
weak,93,2.2112,2.2852,0.0740,0.01022,0.2627
weak,94,2.2796,1.9908,0.2888,0.01064,0.2625
weak,95,2.2414,2.1826,0.0588,0.01130,0.2547
weak,96,1.9128,2.0902,0.1773,0.01120,0.2582
weak,97,2.1792,2.3628,0.1836,0.01131,0.2565
weak,98,2.8429,2.6719,0.1710,0.00838,0.2465
weak,99,2.7441,2.0800,0.6641,0.00994,0.2467
